,City,Latitude,Max Temp,Humidity,Cloudiness,Wind Speed
287,Verāval,20.9,73.06,50,0,7.76
288,Shakiso,5.75,54.37,82,30,2.62
289,Kulhudhuffushi,6.62,81.93,72,87,11.92
290,Botwood,49.15,21.0,74,0,4.65
291,Sirte,31.21,67.87,53,0,20.02
292,San Carlos del Zulia,9.0,78.6,80,59,5.48
293,Vestmannaeyjar,63.44,38.84,75,60,14.67
294,Mauriti,-7.39,82.4,54,40,3.36
295,Perevoz,55.6,25.92,94,100,14.07
296,Luganville,-15.53,82.4,78,40,5.82
297,Dowa,-13.65,68.32,65,0,4.63
298,Coahuayana Viejo,18.73,80.6,74,20,3.42
299,Tripoli,32.88,58.39,84,98,5.99
300,Aksha,50.28,17.87,91,25,7.25
301,Salym,60.06,14.31,97,65,5.08
302,Mahon,39.89,50.0,71,0,4.7
303,Taree,-31.9,84.56,40,34,8.05
304,Chernyshevskiy,63.01,8.35,96,95,4.05
305,Pestovo,58.59,32.65,95,96,8.5
306,Finale Ligure,44.17,45.7,46,20,6.93
307,Bella Union,-30.28,69.87,52,0,11.14
308,Boone,39.03,43.74,84,16,6.29
309,Zhigansk,66.77,-8.16,90,92,7.54
310,Vega de Alatorre,20.03,73.9,82,9,6.49
311,Kokkola,63.84,38.82,93,90,9.17
312,Mokhsogollokh,61.47,-8.86,91,92,2.48
313,Sokółka,53.41,40.5,90,23,14.76
314,Tupik,54.43,4.69,89,5,3.02
315,Klaksvík,62.23,37.4,93,2,9.17
316,Port Hawkesbury,45.62,31.71,91,90,3.36
317,Arrondissement de Provins,48.58,43.32,90,62,1.01
318,Da Lat,11.95,59.7,100,40,3.96
319,Valentín Gómez Farías,28.22,68.27,29,11,10.98
320,São Desidério,-12.36,72.46,88,100,3.69
321,Tura,25.52,57.4,58,0,4.68
322,Teseney,15.11,67.68,91,7,8.66
323,Krasnoborsk,61.56,26.53,96,100,10.54
324,Heze,35.24,35.87,77,22,5.01
325,Tupaciguara,-18.59,72.34,68,36,3.31
326,Kumul,42.8,16.41,72,67,3.11
327,Garoowe,8.41,74.57,72,99,7.87
328,Dalnerechensk,45.93,9.79,91,16,10.96
329,Turangi,-39.0,71.01,27,72,5.01
330,Kiryat Gat,31.61,58.64,92,0,2.8
331,Esmeraldas,-19.76,71.6,68,0,10.29
332,Heves,47.6,32.9,93,90,4.7
333,Buala,-8.14,86.14,64,22,3.33
334,Yangi Marg`ilon,40.43,24.8,68,90,6.93
335,Bumba,2.18,73.17,78,63,0.98
336,Vygonichi,53.1,30.69,99,100,14.7
337,Hobyo,5.35,79.32,81,100,19.44
338,Sarkand,45.41,15.46,83,74,2.73
339,Grindavik,63.84,32.0,81,40,13.87
340,Srednekolymsk,67.45,3.88,94,100,8.84
341,Ceyhan,37.02,49.93,61,0,6.93
342,Yelbarga,15.63,69.46,83,100,6.22
343,Seoul,37.57,31.44,74,1,4.52
344,Kavieng,-2.57,84.47,67,84,10.29
345,Alofi,-19.06,78.8,88,90,3.36
346,Oddur,4.12,71.67,82,98,9.26
347,Hamamatsu,34.7,64.54,76,18,14.0
348,Nyurba,63.28,8.83,95,100,4.29
349,Christchurch,-43.53,56.32,54,72,2.24
350,Geraldton,-28.77,82.4,21,0,11.41
351,Le Vauclin,14.55,77.9,83,20,8.05
352,San Miguel,13.48,76.06,90,84,2.33
353,São João da Barra,-21.64,72.86,80,71,10.31
354,Hofn,64.25,33.04,93,100,8.16
355,Touros,-5.2,78.8,78,40,5.82
356,Grand Gaube,-20.01,73.0,78,7,3.0
357,Ankazobe,-18.32,66.2,88,75,4.7
358,Lloydminster,53.28,8.6,92,75,11.41
359,Tocopilla,-22.09,63.52,62,69,3.09
360,Tahe,52.33,10.15,93,60,4.43
361,Khasan,42.43,26.58,80,0,15.64
362,Bongandanga,1.5,72.3,83,27,1.23
363,Perleberg,53.07,42.01,90,75,9.1
364,Norman Wells,65.28,12.2,72,75,10.29
365,Lashio,22.93,52.29,95,0,1.45
366,Myitkyina,25.38,58.5,92,2,3.4
367,Seryshevo,51.09,11.7,96,100,2.71
368,San Jose,37.34,60.28,54,75,5.82
369,Hermiston,45.84,33.21,65,90,1.79
370,San Quintín,30.48,65.66,74,86,11.21
371,Port Hardy,50.7,44.6,87,75,13.87
372,Iberia,29.95,67.78,60,1,6.93
373,Yining,29.04,45.28,91,100,2.08
374,Nyzhnya Duvanka,49.58,27.28,97,100,10.07
375,Constitución,-35.33,57.43,79,0,15.88
376,Chifeng,42.27,10.44,86,0,8.68
377,Moosomin,50.13,10.33,95,26,0.74
378,Halifax,44.65,31.71,69,35,5.82
379,Ambilobe,-13.2,73.49,80,0,4.27
380,Shimoda,34.67,65.57,72,20,17.22
381,Belvidere,42.26,41.81,73,74,7.0
382,Port-Gentil,-0.72,75.2,94,90,3.36
383,Hutchinson,38.06,48.36,29,1,6.93
384,Lata,40.16,49.17,93,6,1.12
385,Fochville,-26.49,60.73,98,84,10.76
386,Nara,34.69,59.92,72,75,4.7
387,Kaukauna,44.28,38.14,69,90,5.82
388,Isangel,-19.55,84.2,66,40,5.82
389,Boende,-0.22,72.63,96,99,1.34
390,Ballina,-28.87,83.1,54,0,3.36
391,Anadyr,64.75,27.37,92,40,24.61
392,Shingū,33.73,60.8,72,75,14.99
393,Port Lincoln,-34.73,63.64,63,41,15.23
394,Codrington,-38.27,61.97,74,81,15.03
395,Santiago,-33.46,73.92,31,0,6.93
396,Trincomalee,8.57,80.11,82,100,16.64
397,Tagusao,9.19,81.66,71,49,5.7
398,Zyryanka,65.75,-1.26,92,100,13.13
399,Lima,-12.04,64.2,77,40,5.82
400,Vao,-22.67,71.92,78,14,16.06
401,Saldanha,-33.01,59.0,82,0,4.7
402,Bilma,18.69,62.04,32,0,2.39
403,Koźle,50.34,38.68,67,100,7.0
404,Benguela,-12.58,75.78,77,99,3.33
405,Mossamedes,-15.2,68.11,73,7,3.98
406,Ganzhou,28.82,49.1,82,78,4.97
407,Turbat,26.0,60.55,80,0,1.99
408,Vardø,70.37,32.0,85,75,6.93
409,Saint-Félicien,48.65,21.16,92,90,2.24
410,Umluj,25.02,74.77,43,0,6.64
411,Verkhnyaya Inta,65.98,15.87,92,99,7.67
412,Blagoyevo,63.37,25.68,95,100,12.21
413,Kromy,52.69,30.76,98,100,17.9
414,Samarai,-10.62,81.93,79,100,12.19
415,Alakurtti,66.97,33.01,94,100,4.0
416,Liku,-0.73,80.94,76,100,1.48
417,Noyabrsk,63.2,10.2,96,51,11.9
418,San Luis,-33.3,78.13,36,32,10.51
419,Airai,-8.93,70.66,80,90,2.68
420,Taraz,42.9,10.4,92,90,2.24
421,Maragogi,-9.01,76.33,82,37,8.16
422,San Rafael,-34.62,81.41,36,48,9.26
423,Djambala,-2.54,67.14,98,100,3.13
424,Fenoarivo Atsinanana,-17.37,74.61,80,41,2.68
425,Te Anau,-45.42,55.9,47,99,2.84
426,Departamento de Maldonado,-34.67,65.59,68,0,13.87
427,Puerto Baquerizo Moreno,-0.9,69.85,81,24,12.19
428,Ploemeur,47.73,42.8,93,75,1.12
429,Trairi,-3.28,80.22,73,4,11.54
430,Marsaxlokk,35.84,63.14,88,75,12.75
431,Baiyin,36.56,17.8,85,40,4.47
432,Pacific Grove,36.62,54.5,76,1,6.93
433,Uyuni,-20.46,56.01,42,56,21.05
434,Catabola,-12.15,63.79,94,100,3.71
435,Senador José Porfírio,-2.59,74.55,92,99,3.0
436,Cotonou,6.37,82.4,83,40,12.75
437,Petlāwad,23.0,60.85,36,0,9.15
438,Marsh Harbour,26.54,77.2,80,3,13.65
439,Chaohu,31.6,43.47,75,90,8.95
440,Nesna,66.2,36.0,92,89,20.07
441,Libenge,3.65,74.3,77,97,0.43
442,Linxia Chengguanzhen,35.6,18.55,93,100,0.98
443,Sylvania,41.72,33.55,97,90,8.05
444,Nagato,34.38,52.95,71,75,5.82
445,Toora-Khem,52.47,10.74,93,66,1.59
446,Marfino,55.7,28.47,92,90,8.95
447,Chapais,49.78,17.6,85,75,6.93
448,Bentiu,9.23,73.04,24,0,5.44
449,Ottumwa,41.02,45.0,49,1,11.41
450,Simpang,-1.27,74.08,97,100,3.22
451,Batticaloa,7.71,76.82,89,100,10.98
452,Kargil,34.57,19.33,92,100,1.57
453,Havøysund,71.0,30.2,100,75,6.93
454,Kuytun,54.34,24.71,98,99,7.34
455,Linjiang,41.81,20.98,81,0,2.57
456,Coquimbo,-29.95,57.2,87,75,8.05
457,Rawson,-43.3,69.26,37,0,13.24
458,Bismarck,46.81,30.85,74,1,5.82
459,La Asuncion,11.03,89.6,59,100,16.11
460,Buckeye,33.37,79.93,26,1,4.7
461,Morón,-34.65,75.02,51,0,4.0
462,Mulchén,-37.72,63.84,58,1,7.02
463,Ketovo,55.35,14.31,92,55,4.07
464,Luwuk,-0.95,83.73,68,99,2.77
465,Makarov,48.63,24.44,85,3,11.1
466,Elena,42.93,27.5,100,20,2.13
467,Panabá,21.28,73.08,92,0,6.82
468,Omboué,-1.57,76.68,92,100,7.4
469,Starogard Gdański,53.96,40.19,100,24,14.81
470,Mersing,2.43,75.2,94,100,1.12
471,Santa Fe,-31.63,82.0,41,0,1.99
472,Lorengau,-2.02,85.3,66,100,8.9
473,Muroto-misakicho,33.28,60.8,63,40,13.87
474,Meulaboh,4.14,76.37,73,97,3.94
475,Scottsbluff,41.87,41.61,22,1,9.17
476,Madang,-5.22,85.33,65,63,1.43
477,Jacareacanga,-6.22,74.61,97,98,3.29
478,Onda,39.97,48.0,85,0,3.11
479,Rocha,-34.48,56.52,88,0,7.16
480,Yokadouma,3.52,74.93,62,86,1.48
481,Cururupu,-1.83,77.56,85,100,3.58
482,Helong,42.54,20.82,76,0,6.62
483,Vol'no-Nadezhdinskoye,43.38,15.8,72,0,2.8
484,Haines Junction,60.75,-4.0,70,99,1.34
485,Zaporizhia,47.82,28.2,86,0,13.42
486,Mishan,45.55,9.68,89,11,10.07
487,Hanna,51.63,14.68,100,85,8.05
488,Malbork,54.04,40.69,100,5,16.08
489,Kargasok,59.06,15.01,97,66,4.52
490,Rancho Palos Verdes,33.74,64.0,55,5,8.05
491,Clarksburg,39.28,57.81,55,90,6.93
492,Canby,45.26,39.92,86,20,1.83
493,Kibre Mengist,5.88,53.38,86,29,1.72
494,Zhigalovo,54.81,23.49,96,100,3.98
495,Stutterheim,-32.57,57.65,97,100,1.66
496,Bagdarin,54.43,6.42,89,12,4.07
497,Quatre Cocos,-20.21,73.18,83,40,8.05
498,Vikhorevka,56.12,21.09,100,75,6.71
499,Makakilo City,21.35,81.61,54,75,11.41
500,Gravdal,68.12,40.95,73,97,19.71
501,Milledgeville,33.08,62.31,88,40,2.68
502,Kefamenanu,-9.45,82.62,65,95,4.14
503,Mokrous,51.23,24.76,95,94,9.44
504,Faanui,-16.48,81.18,73,51,10.02
505,Old Saybrook,41.29,48.76,81,90,9.17
506,Shitanjing,39.23,8.06,89,0,7.2
507,Mushie,-3.02,72.07,95,100,3.69
508,Columbus,39.96,39.06,100,90,8.05
509,Fortuna,40.6,49.19,87,75,5.82
510,Champasak,14.75,71.26,86,1,1.59
511,Pierre,44.37,39.36,38,1,4.59
512,Ust-Tsilma,65.44,26.2,91,100,12.55
513,Puerto Gaitán,4.31,80.73,75,17,7.34
514,Orcopampa,-15.27,53.46,46,79,5.59
515,Bobo-Dioulasso,11.18,77.0,44,0,6.93
516,Quang Ngai,15.12,75.88,84,54,5.26
517,Atbasar,51.8,15.82,94,100,5.5
518,Province of Mantua,45.17,32.09,92,0,3.36
519,Talakan,50.32,12.2,94,100,2.1
520,Bambanglipuro,-7.95,80.53,79,98,2.08
521,Turukhansk,65.82,6.48,95,99,6.67
522,Waverley,-25.7,64.18,88,40,3.36
523,Poronaysk,49.22,22.32,86,0,7.16
524,Markova,48.68,41.0,56,75,8.95
525,Pergamino,-33.89,78.89,41,0,3.0
526,Mogadishu,2.04,79.21,80,97,10.4
527,Usol'ye,59.43,10.0,61,97,1.99
528,Paamiut,61.99,27.39,95,100,32.73
529,Avera,33.19,60.76,77,90,3.02
530,Necochea,-38.55,74.46,47,88,15.1
531,Yoichi,43.2,33.08,86,75,11.41
532,Kindu,-2.95,69.71,93,99,1.19
533,Kruisfontein,-34.0,62.01,94,87,1.99
534,Cuamba,-14.8,75.33,60,43,4.36
535,Nushki,29.55,55.26,37,1,6.55
536,Mahon,39.89,50.0,71,0,4.7
537,Cervo,43.67,52.52,75,0,3.2
538,Mangan,27.52,52.41,37,1,4.27
539,Eydhafushi,5.1,82.31,77,70,13.35
540,Gritsovskiy,54.14,28.54,98,100,16.35
541,Toowoomba,-27.55,78.22,50,0,6.93
542,Yerbogachën,61.28,18.39,96,100,10.29
543,Port Shepstone,-30.74,66.72,76,71,6.6
544,Rockhampton,-23.38,82.4,42,20,3.36
545,Villa Juárez,24.65,83.7,43,5,9.17
546,Lat Yao,15.75,73.94,91,97,1.74
547,Alvdal,62.11,33.8,80,90,17.22
548,Pontes e Lacerda,-15.23,81.79,43,69,2.39
549,Amazar,53.86,5.94,89,15,2.3
550,Copperas Cove,31.12,64.35,72,90,12.75
551,Norrtälje,59.76,45.66,50,1,1.99
552,Mahajanga,-15.72,78.8,83,20,3.36
553,Aitape,-3.14,81.91,80,88,2.8
554,Camacha,33.08,64.4,77,20,2.24
555,Solnechnyy,50.72,10.0,82,17,1.66
556,Aklavik,68.22,3.2,84,81,11.41
557,Kaduna,10.52,71.91,41,24,6.35
558,La Palma,33.85,67.12,46,1,4.7
559,Ko Samui,9.54,81.25,73,97,2.71
560,Shawnee,39.05,46.27,34,1,8.05
561,Berdigestyakh,62.1,-8.63,90,87,2.98
562,Teodoro Sampaio,-22.53,74.39,48,1,5.06
563,Jaca,42.57,42.01,73,0,1.03
564,Gizo Government Station,-8.1,85.08,68,38,5.59
565,Bom Jesus,-9.07,73.8,89,100,3.38
566,Areosa,41.72,51.57,87,0,3.78
567,Bichena,10.45,48.34,49,6,1.61
568,Maïné Soroa,13.21,74.01,30,6,9.01
569,Klyuchi,52.27,18.7,96,100,4.83
570,Sucúa,-2.47,69.8,88,40,2.24
571,Viedma,-40.81,66.99,52,89,13.82
572,Tizimín,21.15,72.59,94,13,6.2
